timestamp,000b0a2509497719193b9623f5d8d3e229414d6a,098bf8ea1c5269231226736e9b16a635ca5d74bb,2508bc72784db0cccfe2abaf21a2901348296118,418cfc39112c46643489edbf49e4b72d3b9732fa,54ba643ef1116d7de67d918e35e22f494408dab7,6b8b348220e0880d2d4bb373cd58ac920cc08fa0,77fc3393c6c6e0a2487422886363667aee953244,7e64f02a965f5e4eb27c4d5ed869edfa4c5c04d6,893954923fa66520873628280b7e20a95de291ff,8bf9b09299e52fe8b1ccd29ae805fb2cd0f1a6ac,92bdb1449d453947b72dc5165b381f8f710cee57,9f265a994fb7af4353ae51805809499476e59ca6,c2883151d57d31a0bc12e0752fb5e8dc92a9c319,c8e285be7dac4c97654ab58d67840adbc9c69400,dd63669428e95c07519e072b058e775c54c5a688
1574893137,110,119,227,112,110,117,224,114,117,1.4524e-05,7,116,227,114,227
1574893138,110,119,227,112,110,117,224,114,117,1.208e-05,7,116,227,114,227
1574893139,110,119,227,112,110,117,224,114,117,1.0915999999999998e-05,7,116,227,114,227
1574893140,110,119,227,112,110,117,224,114,117,1.269e-05,7,116,227,114,227
1574893141,110,119,227,112,110,117,224,114,117,1.2842e-05,7,116,227,114,227
1574893142,110,119,227,112,110,117,224,114,117,1.2210999999999999e-05,7,116,227,114,227
1574893143,110,119,227,112,110,117,224,114,117,1.1581e-05,7,116,227,114,227
1574893144,110,119,227,112,110,117,224,114,117,1.1045999999999999e-05,7,116,227,114,227
1574893145,110,119,227,112,110,117,224,114,117,3.3972e-05,7,116,227,114,227
1574893146,110,119,227,112,110,117,224,114,117,1.3980999999999999e-05,7,116,227,114,227
1574893147,110,119,227,112,110,117,224,114,117,1.4039e-05,7,116,227,114,227
1574893148,110,119,227,112,110,117,224,114,117,1.2994000000000001e-05,7,116,227,114,227
1574893149,110,119,227,112,110,117,224,114,117,2.6279e-05,7,116,227,114,227
1574893150,110,119,227,112,110,117,224,114,117,1.2422e-05,7,116,227,114,227
1574893151,110,119,227,112,110,117,224,114,117,1.2312e-05,7,116,227,114,227
1574893152,110,119,227,112,110,117,224,114,117,1.4140999999999999e-05,7,116,227,114,227
1574893153,110,119,227,112,110,117,224,114,117,1.3547000000000001e-05,7,116,227,114,227
1574893154,110,119,227,112,110,117,224,114,117,1.1275e-05,7,116,227,114,227
1574893163,110,119,227,112,110,117,224,114,117,1.3382e-05,7,116,227,114,227
1574893164,110,119,227,112,110,117,224,114,117,1.2719000000000001e-05,7,116,227,114,227
1574893165,110,119,227,112,110,117,224,114,117,1.641e-05,7,116,227,114,227
1574893166,110,119,227,112,110,117,224,114,117,3.9028e-05,7,116,227,114,227
1574893167,110,119,227,112,110,117,224,114,117,1.4955999999999999e-05,7,116,227,114,227
1574893168,110,119,227,112,110,117,224,114,117,1.7505999999999998e-05,7,116,227,114,227
1574893169,110,119,227,112,110,117,224,114,117,2.7360999999999998e-05,7,116,227,114,227
1574893170,110,119,227,112,110,117,224,114,117,9.654e-06,7,116,227,114,227
1574893171,110,119,227,112,110,117,224,114,117,1.3405e-05,7,116,227,114,227
1574893172,110,119,227,112,110,117,224,114,117,1.4344e-05,7,116,227,114,227
1574893173,110,119,227,112,110,117,224,114,117,1.3325999999999999e-05,7,116,227,114,227
1574893174,110,119,227,112,110,117,224,114,117,2.4237e-05,7,116,227,114,227
1574893175,110,119,227,112,110,117,224,114,117,1.0997999999999999e-05,7,116,227,114,227
1574893176,110,119,227,112,110,117,224,114,117,1.4009000000000001e-05,7,116,227,114,227
1574893177,110,119,227,112,110,117,224,114,117,1.2036e-05,7,116,227,114,227
1574893178,110,119,227,112,110,117,224,114,117,1.7066e-05,7,116,227,114,227
1574893179,110,119,227,112,110,117,224,114,117,1.2507e-05,7,116,227,114,227
1574893180,110,119,227,112,110,117,224,114,117,1.1737000000000001e-05,7,116,227,114,227
1574893181,110,119,227,112,110,117,224,114,117,6.8375e-05,7,116,227,114,227
1574893182,110,119,227,112,110,117,224,114,117,1.0864000000000001e-05,7,116,227,114,227
1574893183,110,119,227,112,110,117,224,114,117,1.3192e-05,7,116,227,114,227
1574893184,110,119,227,112,110,117,224,114,117,1.1581e-05,7,116,227,114,227
1574893185,110,119,227,112,110,117,224,114,117,3.8267e-05,7,116,227,114,227
1574893186,110,119,227,112,110,117,224,114,117,1.1474e-05,7,116,227,114,227
1574893189,110,119,227,112,110,117,224,114,117,1.9390999999999998e-05,7,116,227,114,227
1574893190,110,119,227,112,110,117,224,114,117,1.6315999999999998e-05,7,116,227,114,227
1574893191,110,119,227,112,110,117,224,114,117,1.5387e-05,7,116,227,114,227
1574893192,110,119,227,112,110,117,224,114,117,1.6999e-05,7,116,227,114,227
1574893193,110,119,227,112,110,117,224,114,117,2.3164e-05,7,116,227,114,227
1574893194,110,119,227,112,110,117,224,114,117,1.3649000000000001e-05,7,116,227,114,227
1574893195,110,119,227,112,110,117,224,114,117,1.4998e-05,7,116,227,114,227
1574893196,110,119,227,112,110,117,224,114,117,1.7463e-05,7,116,227,114,227
1574893197,110,119,227,112,110,117,224,114,117,1.6774000000000002e-05,7,116,227,114,227
1574893198,110,119,227,112,110,117,224,114,117,1.1675e-05,7,116,227,114,227
1574893199,110,119,227,112,110,117,224,114,117,1.1835e-05,7,116,227,114,227
1574893200,110,119,227,112,110,117,224,114,117,3.0912e-05,7,116,227,114,227
1574893201,110,119,227,112,110,117,224,114,117,2.3233000000000003e-05,7,116,227,114,227
1574893204,110,120,227,112,110,117,224,114,117,1.6549e-05,7,116,228,114,227
1574893205,110,120,227,113,110,117,224,114,117,1.0055e-05,7,117,228,114,227
1574893206,110,120,227,113,110,117,224,114,117,5.4000000000000005e-05,7,117,228,114,227
1574893207,118,128,235,121,118,125,232,122,125,1.6122e-05,7,125,236,122,235
1574893208,118,128,235,121,118,125,232,122,125,1.789e-05,7,125,236,122,235
1574893209,118,128,235,121,118,125,232,122,125,1.4562e-05,7,125,236,122,235
1574893210,118,128,235,121,118,125,232,122,125,1.4208e-05,7,125,236,122,235
1574893211,118,128,235,121,118,125,232,122,125,2.2723000000000003e-05,7,125,236,122,235
1574893212,118,128,235,121,118,125,232,122,125,1.2131e-05,7,125,236,122,235
1574893213,118,128,235,121,118,125,232,122,125,2.8179000000000002e-05,7,125,236,122,235
1574893214,118,128,235,121,118,125,232,122,125,1.061e-05,7,125,236,122,235
1574893215,118,128,235,121,118,125,232,122,125,3.7575e-05,7,125,236,122,235
1574893216,118,128,235,121,118,125,232,122,125,1.4779e-05,7,125,236,122,235
1574893217,118,128,235,121,118,125,232,122,125,1.061e-05,7,125,236,122,235
1574893218,118,128,235,121,118,125,232,122,125,1.4733e-05,7,125,236,122,235
1574893219,118,128,235,121,118,125,232,122,125,1.3079000000000001e-05,7,125,236,122,235
1574893220,118,128,235,121,118,125,232,122,125,1.8791e-05,7,125,236,122,235
1574893221,118,128,235,121,118,125,232,122,125,1.3935e-05,7,125,236,122,235
1574893222,118,128,235,121,118,125,232,122,125,1.3466e-05,7,125,236,122,235
1574893223,118,128,235,121,118,125,232,122,125,1.8662000000000002e-05,7,125,236,122,235
1574893224,118,128,235,121,118,125,232,122,125,7.2492e-05,7,125,236,122,235
1574893225,118,128,235,121,118,125,232,122,125,1.9622999999999998e-05,7,125,236,122,235
1574893226,118,128,235,121,118,125,232,122,125,1.6218e-05,7,125,236,122,235
1574893227,118,128,235,121,118,125,232,122,125,1.3004000000000001e-05,7,125,236,122,235
1574893228,118,128,235,121,118,125,232,122,125,1.8026e-05,7,125,236,122,235
1574893229,118,128,235,121,118,125,232,122,125,1.4758e-05,7,125,236,122,235
1574893230,118,128,235,121,118,125,232,122,125,1.3292e-05,7,125,236,122,235
1574893231,118,128,235,121,118,125,232,122,125,1.5122e-05,7,125,236,122,235
1574893238,118,128,235,121,118,125,232,122,125,9.999e-06,7,125,236,122,235
1574893239,118,128,235,121,118,125,232,122,125,2.1333e-05,7,125,236,122,235
1574893240,118,128,235,121,118,125,232,122,125,2.5936e-05,7,125,236,122,235
1574893241,118,128,235,121,118,125,232,122,125,1.3249000000000001e-05,7,125,236,122,235
1574893242,118,128,235,121,118,125,232,122,125,1.3500999999999998e-05,7,125,236,122,235
1574893243,118,128,235,121,118,125,232,122,125,1.2793e-05,7,125,236,122,235
1574893244,118,128,235,121,118,125,232,122,125,2.6405999999999998e-05,7,125,236,122,235
1574893245,118,128,235,121,118,125,232,122,125,1.6233e-05,7,125,236,122,235
1574893246,118,128,235,121,118,125,232,122,125,8.589e-06,7,125,236,122,235
1574893247,118,128,235,121,118,125,232,122,125,1.1548e-05,7,125,237,122,235
1574893248,118,128,235,121,118,125,232,122,125,1.7115e-05,7,125,237,122,235
1574893249,118,128,235,121,118,125,232,122,125,1.0467999999999999e-05,7,125,237,122,235
1574893250,118,128,235,121,118,125,232,122,125,1.5182e-05,7,125,237,122,235
1574893251,118,128,235,121,118,125,232,122,125,2.5815e-05,7,125,237,122,235
1574893252,118,128,235,121,118,125,232,122,125,2.269e-05,7,125,237,122,235
1574893253,118,128,235,121,118,125,232,122,125,1.2145e-05,7,125,237,122,235
1574893254,118,128,235,121,118,125,232,122,125,2.3623e-05,7,125,237,122,235
1574893255,118,128,235,121,118,125,232,122,125,3.8395999999999996e-05,7,125,237,122,235
1574893256,118,128,235,121,118,125,232,122,125,1.3874000000000001e-05,7,125,237,122,235
1574893257,118,128,235,121,118,125,232,122,125,1.7558e-05,7,125,237,122,235
1574893258,118,128,236,121,118,125,232,122,125,2.5509000000000003e-05,7,125,237,122,235
1574893259,118,128,236,121,118,125,232,122,125,1.4284e-05,7,125,237,122,235
1574893260,118,128,236,121,118,125,232,122,125,1.6852e-05,7,125,237,122,235
1574893261,118,128,236,121,118,125,232,122,125,1.1180999999999998e-05,7,125,237,122,235
1574893262,118,128,236,121,118,125,232,122,125,1.1865e-05,7,125,237,122,235
1574893263,118,128,236,121,118,125,232,122,125,3.5566e-05,7,125,237,122,235
1574893264,118,128,236,121,118,125,232,122,125,1.2062e-05,7,125,237,122,235
1574893265,118,128,236,121,118,125,232,122,125,2.4431e-05,7,125,237,122,235
1574893270,118,128,236,121,118,125,232,122,125,2.1773000000000003e-05,7,125,236,122,235
1574893271,118,128,236,121,118,125,232,122,125,1.7276e-05,7,125,236,122,235
1574893272,118,128,236,121,118,125,232,122,125,1.361e-05,7,125,236,122,235
1574893273,118,128,235,121,118,125,232,122,125,1.1269000000000002e-05,7,125,236,122,235
1574893274,118,128,235,121,118,125,232,122,125,1.5611e-05,7,125,236,122,235
1574893275,118,128,235,121,118,125,232,122,125,1.3522e-05,7,125,236,122,235
1574893276,118,128,235,121,118,125,232,122,125,1.5060999999999999e-05,7,125,236,122,235
1574893277,118,128,235,121,118,125,232,122,125,9.338e-06,7,125,236,122,235
1574893278,118,128,235,121,118,125,232,122,125,4.6195e-05,7,125,236,122,235
1574893279,118,128,235,121,118,125,232,122,125,1.2984000000000001e-05,7,125,236,122,235
1574893280,118,128,235,121,118,125,232,122,125,1.2065e-05,7,125,236,122,235
1574893281,36,44,151,37,38,45,150,40,43,1.5483e-05,7,41,152,42,155
1574893282,36,44,151,37,38,45,150,40,43,1.4649000000000002e-05,7,41,152,42,155
1574893283,36,44,151,37,38,45,150,40,43,1.2522e-05,7,41,152,42,155
1574893284,36,44,151,37,38,45,150,40,43,1.4971e-05,7,41,152,42,155
1574893285,36,44,151,37,38,45,150,40,43,1.21e-05,7,41,152,42,155
1574893286,36,44,151,37,38,45,150,40,43,1.1856e-05,7,41,152,42,155
1574893287,36,44,151,37,38,45,150,40,43,2.6239e-05,7,41,152,42,155
1574893288,36,44,151,37,38,45,150,40,43,1.3614e-05,7,41,152,42,155
1574893289,36,44,151,37,38,45,150,40,43,2.9202e-05,7,41,152,42,155
1574893290,36,44,151,37,38,45,150,40,43,2.4793e-05,7,41,152,42,155
1574893291,36,44,151,37,38,45,150,40,43,1.4208e-05,7,41,152,42,155
1574893292,36,44,151,37,38,45,150,40,43,1.2815e-05,7,41,152,42,155
1574893293,36,44,151,37,38,45,150,40,43,1.1047000000000001e-05,7,41,152,42,155
1574893294,36,44,151,37,38,45,150,40,43,1.0053e-05,7,41,152,42,155
1574893295,36,44,151,37,38,45,150,40,43,1.217e-05,7,41,152,42,155
1574893296,36,44,151,37,38,45,150,40,43,1.4928e-05,7,41,152,42,155
1574893297,36,44,151,37,38,45,150,40,43,1.2937999999999999e-05,7,41,152,42,155
1574893298,36,44,151,37,38,45,150,40,43,2.42e-05,7,41,152,42,155
1574893299,36,44,151,37,38,45,150,40,43,1.327e-05,7,41,152,42,155
1574893300,36,44,151,37,38,45,150,40,43,9.541600000000001e-05,7,41,152,42,155
1574893301,36,44,151,37,38,45,150,40,43,1.4850999999999999e-05,7,41,152,42,155
1574893302,36,44,151,37,38,45,150,40,43,2.3015999999999998e-05,7,41,152,42,155
1574893303,36,44,151,37,38,45,150,40,43,1.6699e-05,7,41,152,42,155
1574893304,36,44,151,37,38,45,150,40,43,1.292e-05,7,41,152,42,155
1574893305,36,44,151,37,38,45,150,40,43,1.9758e-05,7,41,152,42,155
1574893306,36,44,151,37,38,45,150,40,43,1.2606e-05,7,41,152,42,155
1574893307,36,44,151,37,38,45,150,40,43,1.2107000000000001e-05,7,41,152,42,155
1574893308,36,44,151,37,38,45,150,40,43,1.267e-05,7,41,152,42,155
1574893309,36,44,151,37,38,45,150,40,43,1.1557e-05,7,41,152,42,155
1574893310,36,44,151,37,38,45,150,40,43,1.278e-05,7,41,152,42,155
1574893311,36,44,151,37,38,45,150,40,43,1.5587000000000002e-05,7,41,152,42,155
1574893312,36,44,151,37,38,45,150,40,43,1.6391e-05,7,41,152,42,155
1574893313,36,44,151,37,38,45,150,40,43,1.7564e-05,7,41,152,42,155
1574893314,36,44,151,37,38,45,150,40,43,0.000117237,7,41,152,42,155
1574893315,36,44,151,37,38,45,150,40,43,1.9719000000000002e-05,7,41,152,42,155
1574893316,36,44,151,37,38,45,150,40,43,1.2766e-05,7,41,152,42,155
1574893317,36,44,151,37,38,45,150,40,43,1.5450999999999998e-05,7,41,152,42,155
1574893318,36,44,151,37,38,45,150,40,43,1.2649e-05,7,41,152,42,155
1574893319,36,44,151,37,38,45,150,40,43,2.1233e-05,7,41,152,42,155
1574893320,36,44,151,37,38,45,150,40,43,2.1948e-05,7,41,152,42,155
1574893321,36,44,151,37,38,45,150,40,43,2.6313e-05,7,41,152,42,155
1574893322,36,44,151,37,38,45,150,40,43,1.485e-05,7,41,152,42,155
1574893323,36,44,152,37,38,45,150,40,43,1.3888e-05,7,41,152,42,155
1574893324,36,44,152,37,38,45,150,40,43,1.5747e-05,7,41,152,42,155
1574893325,36,44,152,37,38,45,150,40,43,3.2706e-05,7,41,152,42,155
1574893326,45,52,160,45,46,53,159,49,52,2.59e-05,7,49,160,50,163
1574893327,45,52,160,45,46,53,159,49,52,3.8556e-05,7,49,160,50,163
1574893328,45,52,160,45,46,53,159,49,52,2.3613000000000002e-05,7,49,160,50,163
1574893329,45,52,160,45,46,53,159,49,52,1.7663e-05,7,49,160,50,163
1574893330,45,52,160,45,46,53,159,49,52,1.2778e-05,7,49,160,50,163
1574893331,45,52,159,45,46,53,159,49,52,1.3044e-05,7,49,160,50,163
1574893332,45,52,159,45,46,53,159,49,52,2.0495999999999998e-05,7,49,160,50,163
1574893333,45,52,159,45,46,53,159,49,52,1.3407e-05,7,49,160,50,163
1574893334,45,52,159,45,46,53,159,49,52,1.5882e-05,7,49,160,50,163
1574893335,45,52,159,45,46,53,159,49,52,1.4314e-05,7,49,160,50,163
1574893336,36,44,151,37,38,45,150,40,43,3.8468000000000005e-05,7,41,152,42,155
1574893337,36,44,151,37,38,45,150,40,43,1.6298e-05,7,41,152,42,155
1574893338,36,44,151,37,38,45,150,40,43,1.5733e-05,7,41,152,42,155
1574893339,36,44,151,37,38,45,150,40,43,9.377999999999999e-06,7,41,152,42,155
1574893340,36,44,151,37,38,45,150,40,43,1.2974000000000001e-05,7,41,152,42,155
1574893341,36,44,151,37,38,45,150,40,43,1.5396e-05,7,41,152,42,155
1574893342,36,44,151,37,38,45,150,40,43,1.1295e-05,7,41,152,42,155
1574893343,36,44,151,37,38,45,150,40,43,1.3387e-05,7,41,152,42,155
1574893344,36,44,151,37,38,45,150,40,43,1.5625e-05,7,41,152,42,155
1574893345,36,44,151,37,38,45,150,40,43,1.871e-05,7,41,152,42,155
1574893346,36,44,151,37,38,45,150,40,43,1.0329e-05,7,41,152,42,155
1574893347,44,53,159,46,46,53,158,48,51,6.178399999999999e-05,7,50,161,50,163
1574893348,44,53,159,46,46,53,158,48,51,1.2726e-05,7,50,161,50,163
1574893349,44,53,159,46,46,53,158,48,51,1.3445e-05,7,50,161,50,163
1574893350,44,53,159,46,46,53,158,48,51,1.5954e-05,7,50,161,50,163
1574893351,44,53,159,46,46,53,158,48,51,1.2373e-05,7,50,161,50,163
1574893352,44,53,159,46,46,53,158,48,51,4.3472e-05,7,50,161,50,163
1574893355,53,61,167,54,54,61,167,57,60,1.0521e-05,7,58,169,58,171
1574893356,53,61,167,54,54,61,167,57,60,1.5845e-05,7,58,169,58,171
1574893357,53,61,167,54,54,61,167,57,60,1.1998e-05,7,58,169,58,171
1574893358,45,52,159,45,46,53,159,49,52,0.00013183299999999998,7,49,160,50,163
1574893359,45,52,159,45,46,53,159,49,52,1.1023e-05,7,49,160,50,163
1574893361,45,52,159,45,46,53,159,49,52,1.3662e-05,7,49,160,50,163
1574893362,45,52,159,45,46,53,159,49,52,1.5115e-05,7,49,160,50,163
1574893363,45,52,159,45,46,53,159,49,52,2.5985999999999998e-05,7,49,160,50,163
1574893364,45,52,159,45,46,53,159,49,52,4.5175e-05,7,49,160,50,163
1574893365,46,53,160,46,47,54,161,50,53,1.2196e-05,7,50,163,51,166
1574893366,46,53,161,46,47,54,161,50,53,1.171e-05,7,50,162,51,165
1574893367,46,53,161,46,47,54,161,50,53,1.3561e-05,7,50,162,51,165
1574893368,46,53,161,46,47,54,161,50,53,1.3279000000000001e-05,7,50,162,51,165
1574893369,46,53,161,46,47,54,161,50,53,2.6481999999999998e-05,7,50,162,51,165
1574893370,46,53,161,46,47,54,161,50,53,1.2065e-05,7,50,162,51,165
1574893371,46,53,161,46,47,54,160,50,53,1.3182e-05,7,50,162,51,165
1574893372,46,53,161,46,47,54,162,50,53,1.181e-05,7,50,162,51,164
1574893373,46,53,161,46,47,54,162,50,53,4.2703999999999996e-05,7,50,162,51,166
1574893374,46,53,161,46,47,54,162,50,53,3.0222e-05,7,50,162,51,166
1574893375,46,53,161,46,47,54,163,50,53,1.8137e-05,7,50,162,51,167
