timestamp,098bf8ea1c5269231226736e9b16a635ca5d74bb,21289bad85773854de1abf2842e30613ec0458ec,2508bc72784db0cccfe2abaf21a2901348296118,3d59e284a2e85aed2ed60d4b3b94e3f28be56e9a,418cfc39112c46643489edbf49e4b72d3b9732fa,54ba643ef1116d7de67d918e35e22f494408dab7,6b8b348220e0880d2d4bb373cd58ac920cc08fa0,77fc3393c6c6e0a2487422886363667aee953244,7ce37b95947d27775788beaa9899ea94c888434c,830ca47eee5b372f4c0f1810ac25d7b4c687fbbf,87d2bad4e28fc42e03ceae8dc6e5675821d5aadd,9f265a994fb7af4353ae51805809499476e59ca6,c2883151d57d31a0bc12e0752fb5e8dc92a9c319,c8e285be7dac4c97654ab58d67840adbc9c69400,dd63669428e95c07519e072b058e775c54c5a688
1572493368,125,1.0000331525726318,232,0.000122567,118,120,127,229,120,117,124,121,230,123,231
1572493369,125,1.0000331525726318,232,0.000124961,118,120,127,229,120,117,124,121,230,123,231
1572493370,125,1.0000331525726318,232,0.00015161799999999998,118,120,127,229,120,117,124,121,230,123,231
1572493371,125,1.0000331525726318,232,0.000133714,118,120,127,229,120,117,124,121,230,123,231
1572493372,125,1.0000331525726318,232,0.00012080200000000001,118,120,127,229,120,117,124,121,230,123,231
1572493373,125,1.0000331525726318,232,9.114799999999999e-05,118,120,127,229,120,117,124,121,230,123,231
1572493374,125,1.0000331525726318,232,0.000131351,118,120,127,229,120,117,124,121,230,123,231
1572493375,125,1.0000331525726318,232,9.7078e-05,118,120,127,229,120,117,124,121,230,123,231
1572493376,125,1.0000331525726318,232,0.00011883899999999999,118,120,127,229,120,117,124,121,230,123,231
1572493377,125,1.0000331525726318,232,0.000108956,118,120,127,229,120,117,124,121,230,123,231
1572493378,125,1.0000331525726318,232,9.695899999999999e-05,118,120,127,229,120,117,124,121,230,123,231
1572493379,125,1.0000331525726318,232,0.000105567,118,120,127,229,120,117,124,121,230,123,231
1572493380,125,1.0000331525726318,232,0.000132658,118,120,127,229,120,117,124,121,230,123,231
1572493381,125,1.0000331525726318,232,0.000113698,118,120,127,229,120,117,124,121,230,123,231
1572493382,125,1.0000331525726318,232,9.992200000000001e-05,118,120,127,229,120,117,124,121,230,123,231
1572493383,125,1.0000331525726318,232,0.0022802879999999997,118,120,127,229,120,117,124,121,230,123,231
1572493384,125,1.0000331525726318,232,9.2829e-05,118,120,127,229,120,117,124,121,230,123,231
1572493385,125,1.0000331525726318,232,0.000121869,118,120,127,229,120,117,124,121,230,123,231
1572493386,125,1.0000331525726318,232,0.000112698,118,120,127,229,120,117,124,121,230,123,231
1572493387,125,1.0000331525726318,232,9.800700000000001e-05,118,120,127,229,120,117,124,121,230,123,231
1572493388,125,1.0000331525726318,232,0.000115147,118,120,127,229,120,117,124,121,230,123,231
1572493389,125,1.0000331525726318,232,0.002533055,118,120,127,229,120,117,124,121,230,123,231
1572493390,125,1.0000331525726318,232,9.693299999999999e-05,118,120,127,229,120,117,124,121,230,123,231
1572493391,125,1.0000331525726318,232,9.6066e-05,118,120,127,229,120,117,124,121,230,123,231
1572493392,125,1.0000331525726318,232,0.000103656,118,120,127,229,120,117,124,121,230,123,231
1572493393,125,1.0000331525726318,232,9.2779e-05,118,120,127,229,120,117,124,121,230,123,231
1572493394,125,1.0000331525726318,232,0.000100331,118,120,127,229,120,117,124,121,230,123,231
1572493395,125,1.0000331525726318,232,0.000111116,118,120,127,229,120,117,124,121,230,123,231
1572493396,125,1.0000331525726318,232,0.00011937,118,120,127,229,120,117,124,121,230,123,231
1572493397,125,1.0000331525726318,232,0.00011564399999999999,118,120,127,229,120,117,124,121,230,123,231
1572493398,125,1.0000331525726318,232,0.000139758,118,120,127,229,120,117,124,121,230,123,231
1572493399,125,1.0000331525726318,232,0.00011238100000000001,118,120,127,229,120,117,124,121,230,123,231
1572493400,125,1.0000331525726318,232,0.000120675,118,120,127,229,120,117,124,121,230,123,231
1572493401,125,1.0000331525726318,232,0.00010107700000000001,118,120,127,229,120,117,124,121,230,123,231
1572493402,125,1.0000331525726318,232,9.798600000000001e-05,118,120,127,229,120,117,124,121,230,123,231
1572493403,125,1.0000331525726318,232,0.000123246,118,120,127,229,120,117,124,121,230,123,231
1572493404,125,1.0000331525726318,232,9.515399999999999e-05,118,120,127,229,120,117,124,121,230,123,231
1572493405,125,1.0000331525726318,232,9.1261e-05,118,120,127,229,120,117,124,121,230,123,231
1572493406,125,1.0000331525726318,232,9.7911e-05,118,120,127,229,120,117,124,121,230,123,231
1572493407,125,1.0000331525726318,232,8.9384e-05,118,120,127,229,120,117,124,121,230,123,231
1572493408,125,1.0000331525726318,232,0.000129758,118,120,127,229,120,117,124,121,230,123,231
1572493409,125,1.0000331525726318,232,0.00010111,118,120,127,229,120,117,124,121,230,123,231
1572493410,125,1.0000331525726318,232,9.2081e-05,118,120,127,229,120,117,124,121,230,123,231
1572493411,125,1.0000331525726318,232,0.000104403,118,120,127,229,120,117,124,121,230,123,231
1572493412,125,1.0000331525726318,232,0.00011153299999999999,118,120,127,229,120,117,124,121,230,123,231
1572493413,125,1.0000331525726318,232,0.0024561229999999997,118,120,127,229,120,117,124,121,230,123,231
1572493414,125,1.0000331525726318,232,0.000109085,118,120,127,229,120,117,124,121,230,123,231
1572493415,125,1.0000331525726318,232,0.000101078,118,120,127,229,120,117,124,121,230,123,231
1572493416,125,1.0000331525726318,232,0.000118433,118,120,127,229,120,117,124,121,230,123,231
1572493417,125,1.0000331525726318,232,0.00013311899999999998,118,120,127,229,120,117,124,121,230,123,231
1572493418,125,1.0000331525726318,232,0.000134563,118,120,127,229,120,117,124,121,230,123,231
1572493419,125,1.0000331525726318,232,0.000124387,118,120,127,229,120,117,124,121,230,123,231
1572493420,125,1.0000331525726318,232,0.00011083100000000001,118,120,127,229,120,117,124,121,230,123,231
1572493421,125,1.0000331525726318,232,0.00022197700000000002,118,120,127,229,120,117,124,121,230,123,231
1572493422,125,1.0000331525726318,232,0.000112937,118,120,127,229,120,117,124,121,230,123,231
1572493423,125,1.0000331525726318,232,0.002131758,118,120,127,229,120,117,124,121,230,123,231
1572493424,125,1.0000331525726318,232,0.00012067700000000001,118,120,127,229,120,117,124,121,230,123,231
1572493425,125,1.0000331525726318,232,0.00010806700000000001,118,120,127,229,120,117,124,121,230,123,231
1572493426,125,1.0000331525726318,232,0.00010217,118,120,127,229,120,117,124,121,230,123,231
1572493427,125,1.0000331525726318,232,0.002054205,118,120,127,229,120,117,124,121,230,123,231
1572493428,125,1.0000331525726318,232,0.000173645,118,120,127,229,120,117,124,121,230,123,231
