timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1574904121,475899,28.0,28.0,28.0,0.41,0.39,0.63,0.65,0.65,0.65,0.46,474847,24.0,24.0,24.0,397.67,196.61,1041.24,1086.32,1086.32,1086.32,0.46446
1574904122,475899,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.46,474862,15.0,15.0,15.0,477.96,286.00,1334.84,1720.71,1720.71,1720.71,0.46447
1574904123,475960,61.0,61.0,61.0,37.37,0.84,271.32,597.69,667.94,667.94,0.46,474885,23.0,23.0,23.0,475.23,256.64,1606.42,1937.77,1937.77,1937.77,0.46448
1574904124,475995,35.0,35.0,35.0,33.46,0.55,7.45,1126.17,1126.17,1126.17,0.46,474906,21.0,21.0,21.0,546.43,374.87,1580.20,1878.00,1878.00,1878.00,0.46449
1574904125,476008,13.0,13.0,13.0,0.77,0.43,0.76,4.33,4.33,4.33,0.46,474919,13.0,13.0,13.0,400.46,324.53,756.55,834.67,834.67,834.67,0.46447
1574904126,476016,8.0,8.0,8.0,0.50,0.50,0.69,0.69,0.69,0.69,0.46,474935,16.0,16.0,16.0,676.19,546.83,1356.86,1546.65,1546.65,1546.65,0.46447
1574904127,476021,5.0,5.0,5.0,0.56,0.54,0.77,0.77,0.77,0.77,0.46,474950,15.0,15.0,15.0,532.39,453.51,976.75,1474.30,1474.30,1474.30,0.46448
1574904128,476026,5.0,5.0,5.0,0.49,0.52,0.59,0.59,0.59,0.59,0.46,474972,22.0,22.0,22.0,638.18,550.50,1277.17,1431.31,1431.31,1431.31,0.46449
1574904129,476031,5.0,5.0,5.0,0.44,0.42,0.54,0.54,0.54,0.54,0.46,474989,17.0,17.0,17.0,553.07,552.08,878.18,1025.51,1025.51,1025.51,0.46463
1574904130,476061,30.0,30.0,30.0,0.56,0.45,1.74,1.88,1.88,1.88,0.46,475014,25.0,25.0,25.0,389.52,301.99,903.35,1539.31,1539.31,1539.31,0.46465
1574904131,476071,10.0,10.0,10.0,0.45,0.43,0.59,0.59,0.59,0.59,0.46,475029,15.0,15.0,15.0,526.23,552.60,1110.44,1275.07,1275.07,1275.07,0.46467
1574904140,476282,21.0,21.0,21.0,266.56,1.35,1937.77,2083.52,2083.52,2083.52,0.46,475209,9.0,9.0,9.0,489.56,212.34,2917.14,2917.14,2917.14,2917.14,0.46490
1574904141,476284,2.0,2.0,2.0,0.45,0.45,0.46,0.46,0.46,0.46,0.46,475229,20.0,20.0,20.0,707.48,324.80,2474.64,2518.68,2518.68,2518.68,0.46490
1574904142,476324,40.0,40.0,40.0,0.44,0.39,0.68,1.02,1.02,1.02,0.46,475241,12.0,12.0,12.0,693.11,638.58,1073.74,1247.81,1247.81,1247.81,0.46494
1574904143,476324,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.46,475256,15.0,15.0,15.0,583.86,268.70,1523.58,1775.24,1775.24,1775.24,0.46494
1574904144,476353,29.0,29.0,29.0,1.64,0.51,0.92,32.93,32.93,32.93,0.46,475273,17.0,17.0,17.0,703.69,643.83,1518.34,1588.59,1588.59,1588.59,0.46495
